sentence,sentiment,impact,sentiments,impacts,batch,film_title
Good restraint on the use of adjectives. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Not yet categorized' 'Engagement with Film'],1,Seeing the Beginning of Time
Enjoy seeing/tracking storms....fascinating... ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Interest with Science Topic'
 'Interest with Science Topic']",1,SuperTornado: Anatomy of a Megadisaster
"The sound design, visuals and narration are blended so well together. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
Richard Dormer had a calming voice that made this film very enjoyable to watch. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Birth of Planet Earth
So many never seen before images and actual pictures taken from the probe. ,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Shift in Knowledge' 'Engagement with Film' 'Impersonal Report'],1,The Jupiter Enigma
"I enjoyed the video, but felt it would have been more effective if it had been shorter. ",Positive,Engagement with Film,['Negative' 'Neutral' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Solar Superstorms: Journey to the Center of the Sun
"Too many you can tell have been produced and targeted for high school classes, which is fine, but we also need less simplified documentaries like this one - which also includes some of the most breathtaking, astonishingly complex visual simulations I've seen. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
 It talks alot about satellites and junk we put in space. ,Neutral,Impersonal Report,['Neutral' 'Neutral' 'Neutral'],['Interest with Science Topic' 'Impersonal Report' 'Impersonal Report'],1,Space Junk
 It was interesting to watch and see how they develop. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Interest with Science Topic' 'Shift in Knowledge'],1,SuperTornado: Anatomy of a Megadisaster
A few spots were boring. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",1,SuperTornado: Anatomy of a Megadisaster
Very intriguing nowadays to help see science may be much diffrent than what we wereat taught. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Interest with Science Topic' 'Shift in Knowledge'],1,Solar Superstorms: Journey to the Center of the Sun
This documentary focusing on the evolution of the universe through out time is AMAZING! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],1,Seeing the Beginning of Time
" We landed probes on Mars and orbited celestial moons orbiting around other planets, but then again low quality computer generated graphics. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],1,Space Junk
